927	324.244
928	324.239
929	324.235
930	324.231
931	324.227
932	324.223
933	324.219
934	324.214
935	324.21
936	324.206
937	324.202
938	324.198
939	324.194
940	324.19
941	324.186
942	324.182
943	324.178
944	324.174
945	324.17
946	324.166
947	324.162
948	324.158
949	324.154
950	324.15
951	324.146
952	324.142
953	324.138
954	324.134
955	324.13
956	324.126
957	324.122
958	324.118
959	324.115
960	324.111
961	324.107
962	324.103
963	324.099
964	324.096
965	324.092
966	324.088
967	324.084
968	324.08
969	324.077
970	324.073
971	324.069
972	324.066
973	324.062
974	324.058
975	324.055
976	324.051
977	324.047
978	324.044
979	324.04
980	324.037
981	324.033
982	324.03
983	324.026
984	324.023
985	324.019
986	324.016
987	324.012
988	324.009
989	324.006
990	324.002
991	323.999
992	323.996
993	323.993
994	323.99
995	323.987
996	323.984
997	323.981
998	323.978
999	323.975
1000	323.972
1001	323.969
1002	323.966
1003	323.964
1004	323.961
1005	323.959
1006	323.956
1007	323.954
1008	323.952
1009	323.95
1010	323.947
1011	323.945
1012	323.944
1013	323.942
1014	323.94
1015	323.939
1016	323.937
1017	323.936
1018	323.935
1019	323.934
1020	323.933
1021	323.933
1022	323.932
1023	323.932
1024	323.78
1025	323.78
1026	323.78
1027	323.781
1028	323.782
1029	323.783
1030	323.784
1031	323.785
1032	323.786
1033	323.787
1034	323.789
1035	323.79
1036	323.792
1037	323.794
1038	323.796
1039	323.798
1040	323.8
1041	323.802
1042	323.804
1043	323.807
1044	323.809
1045	323.812
1046	323.814
1047	323.817
1048	323.819
1049	323.822
1050	323.824
1051	323.827
1052	323.83
1053	323.833
1054	323.836
1055	323.838
1056	323.841
1057	323.844
1058	323.847
1059	323.85
1060	323.853
1061	323.856
1062	323.859
1063	323.862
1064	323.865
1065	323.868
1066	323.871
1067	323.875
1068	323.878
1069	323.881
1070	323.884
1071	323.887
1072	323.89
1073	323.894
1074	323.897
1075	323.9
1076	323.903
1077	323.906
1078	323.91
1079	323.913
1080	323.916
1081	323.919
1082	323.922
1083	323.926
1084	323.929
1085	323.932
1086	323.935
1087	323.939
1088	323.942
1089	323.945
1090	323.948
1091	323.952
1092	323.955
1093	323.958
1094	323.961
1095	323.965
1096	323.968
1097	323.971
1098	323.974
1099	323.978
1100	323.981
1101	323.984
1102	323.987
1103	323.991
1104	323.994
1105	323.997
1106	324.001
1107	324.004
1108	324.007
1109	324.01
1110	324.014
1111	324.017
1112	324.02
1113	324.023
1114	324.027
1115	324.03
1116	324.033
1117	324.036
1118	324.04
1119	324.043
1120	324.046
1121	324.049
1122	324.053
1123	324.056
1124	324.059
1125	324.062
1126	324.066
1127	324.069
1128	324.072
1129	324.075
1130	324.079
1131	324.082
1132	324.085
1133	324.089
1134	324.092
1135	324.095
1136	324.098
1137	324.102
1138	324.105
1139	324.108
1140	324.111
1141	324.115
1142	324.118
1143	324.121
1144	324.125
1145	324.128
1146	324.131
1147	324.135
1148	324.138
1149	324.141
1150	324.144
1151	324.148
1152	324.151
1153	324.154
1154	324.158
1155	324.161
1156	324.164
1157	324.168
1158	324.171
1159	324.174
1160	324.178
1161	324.181
1162	324.184
1163	324.188
1164	324.191
1165	324.195
1166	324.198
1167	324.201
1168	324.205
1169	324.208
1170	324.212
1171	324.215
1172	324.218
1173	324.222
1174	324.225
1175	324.229
1176	324.232
1177	324.236
1178	324.239
1179	324.242
1180	324.246
